segment,sentiment analysis,yannis,sophia,giwrgos,text,,"
"
8,neutral,neutral,neutral,neutral,know see I 'm white see,,
9,neutral,neutral,neutral,neutral,'s course aspect 's,,
10,neutral,neutral,neutral,neutral,getting glance back mid-1800s white people acted,,
11,neutral,neutral,neutral,neutral,mid-1800s white people acted obviously obviously vote,,
12,negative,negative,negative,negative,duh would hello stupid 're voting,,
13,positive,positive,positive,neutral,'s 's 's amazing mindset 's foreign lot people,,
14,neutral,neutral,neutral,neutral,people I vote wait second 're gon na vote,,
15,neutral,neutral,neutral,neutral,'re gon na vote voted Obamacare even though,,
16,neutral,neutral,neutral,positive,'re admitting helped people state oh man 're,,
17,negative,negative,negative,negative,people state oh man admitting I 'd rather get fucked,,
18,negative,negative,negative,negative,voted black president 's deep racism deep ignorance 's,,
19,neutral,neutral,neutral,negative,saying I would n't vote guy wears watch 's brand,,
20,neutral,neutral,neutral,neutral,says 's way I raised telling man 's,,
21,neutral,neutral,neutral,neutral,'s way I raised got place I got mine yet,,
22,negative,negative,negative,negative,self monitor stuff like 's fucking argument know,,
23,negative,negative,negative,negative,'s fucking argument know like 's 's argument,,
25,negative,neutral,neutral,neutral,seriously like 's serious person 's argument 's thinkers,,
26,negative,negative,negative,negative,fuck anybody accept way punk-ass raised,,
27,positive,positive,positive,neutral,well course 's right I raised like many people,,
28,positive,positive,positive,positive,successful many people happier many people lived totally,,
29,positive,positive,positive,positive,happier many people lived totally 180 degree polar opposite life right,,
30,neutral,neutral,neutral,positive,guy oh one mother one father picket fence dog three kids 's,,
31,positive,neutral,neutral,neutral,old mill okay guy whose dad accountant grew,,
32,positive,positive,positive,positive,incredibly successful President Obama guy,,
